Participant,hypermut,WNT,TGF-beta,RTK,PI3K,P53,APC,CTNNB1,DKK1,DKK2,DKK3,DKK4,LRP5,FZD10,FAM123B,AXIN2,TCF7L2,FBXW7,ARID1A,SOX9,TGFBR1,TGFBR2,ACVR1B,ACVR2A,SMAD2,SMAD3,SMAD4,IGF2,IRS2,PIK3CA,PIK3R1,PTEN,ERBB2,ERBB3,KRAS,NRAS,BRAF,TP53,ATM
TCGA-A6-2670,0,1,0,0,0,1,MUT,,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-A6-2674,0,1,1,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,HOMDEL and DOWN,,,,,,,,,,,MUT,
TCGA-A6-2677,0,1,0,0,1,0,MUT,,,,,,,,,,,MUT,,,,,,,,,,UP,,,,,,,,,,,
TCGA-A6-2678,0,1,1,1,1,1,,MUT,,,,,,,,,,,,,,,,,,,MUT,UP,,,,,,,,MUT,,MUT,
TCGA-A6-2683,0,1,0,1,1,1,,,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,MUT,,,MUT,
TCGA-A6-3807,0,1,1,0,0,1,MUT,,,,,,,,,,,MUT,,,,,MUT,,,,,,,,,,,,,,,MUT,
TCGA-AA-3514,0,1,1,0,0,0,,,,,,,,,,,,,MUT,,,MUT,,,,,,,,,,,,,,,,,
TCGA-AA-3517,0,1,0,1,1,1,,,,,,,,UP,,,,,,,,,,,,,,,UP,,,,AMP,,,,,MUT,
TCGA-AA-3519,0,1,0,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,MUT,,,,MUT,
TCGA-AA-3520,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,MUT,,MUT,UP,,,,,,,MUT,,,MUT,
TCGA-AA-3521,0,1,0,1,0,0,MUT,,,,,,,,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,,
TCGA-AA-3522,0,1,1,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,MUT,,,,MUT
TCGA-AA-3524,0,1,1,0,0,1,MUT,,,,,,,,,,,MUT,,,,,,,,,DOWN,,,,,,,,,,,MUT,
TCGA-AA-3526,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3527,0,1,1,0,1,1,MUT,,,,,,,,MUT,,,,,MUT,,,,MUT,,,,UP,,,,,,,,,,,MUT
TCGA-AA-3529,0,1,0,0,1,0,MUT,,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AA-3530,0,1,1,1,1,1,MUT,,,,,,,,MUT,,MUT,,,,,,,,,,MUT,UP,,,,,,,MUT,,,,MUT
TCGA-AA-3531,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,MUT,
TCGA-AA-3532,0,1,0,1,1,0,MUT,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3534,0,1,0,0,1,0,,MUT,,,,,,UP,,,,,,,,,,,,,,UP,,,,,,,,,,,
TCGA-AA-3538,0,1,0,0,0,0,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3542,0,1,1,0,0,1,MUT,,,,,,,UP,,MUT,,,,,,,,,,HOMDEL,,,,,,,,,,,,MUT,
TCGA-AA-3544,0,1,0,0,0,0,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3548,0,1,0,1,1,0,MUT,,,,,,,,MUT,,,,,,,,,,,,,UP,,,,,,,MUT,,,,
TCGA-AA-3549,0,1,1,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,DOWN,,,,,,,,,MUT,,MUT,
TCGA-AA-3552,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,MUT,
TCGA-AA-3553,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3556,0,1,0,1,1,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,HOMDEL,,,MUT,,,MUT,
TCGA-AA-3558,0,1,1,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,MUT,MUT,,MUT,HOMDEL
TCGA-AA-3560,0,1,0,1,0,1,,,,,,,,UP,,,,MUT,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3561,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3562,0,1,0,0,0,1,MUT,,,,,,MUT,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3664,0,1,1,1,1,1,,,,,,,,UP,,,,,,,,,,,,,DOWN,,,,MUT,,,,,,MUT,,MUT
TCGA-AA-3666,0,1,1,1,1,1,MUT,,,,,,,,MUT,,,,,,,,,,,,MUT,,UP,,,,,,,MUT,,MUT,
TCGA-AA-3667,0,1,0,0,0,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3673,0,1,0,1,1,0,MUT,,,,,,,,,,MUT,,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3678,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,MUT
TCGA-AA-3679,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,MUT
TCGA-AA-3680,0,1,1,1,1,1,MUT,,,,,,,,MUT,,HOMDEL,,,,,HOMDEL,,,,,,,,,,HOMDEL,,,MUT,,,,HOMDEL
TCGA-AA-3681,0,1,0,1,0,1,MUT,,,,,,,,,,,MUT,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3684,0,1,1,1,0,0,MUT,,,,,,,,,,,,,,,,,,MUT,,,,,,,,,,,,MUT,,
TCGA-AA-3685,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3688,0,1,0,0,0,0,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3692,0,1,1,0,1,0,MUT,,,,,,,,,,,,,,,,,,,,MUT,,,,,MUT,,,,,,,
TCGA-AA-3693,0,1,0,0,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3695,0,1,0,1,1,0,MUT,,,,,,,,,,MUT,,,,,,,,,,,UP,,,,,,MUT,MUT,,,,
TCGA-AA-3696,0,1,1,1,1,0,MUT,MUT,,,,,,,,,HOMDEL,,,,,,,,MUT,,,UP,,MUT,,,,,MUT,,,,
TCGA-AA-3812,0,1,0,0,1,0,MUT,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,,
TCGA-AA-3814,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3818,0,1,0,1,1,0,MUT,,,,,,,,,,HOMDEL,,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3819,0,1,0,1,1,1,,,,,,,,UP,,,,,,MUT,,,,,,,,AMP and UP,,,,,,MUT,,MUT,,,MUT
TCGA-AA-3831,0,1,1,0,1,0,,MUT,,,,,,,,,,MUT,MUT,MUT,,,MUT,,,MUT,,AMP and UP,,,,,,,,,,,
TCGA-AA-3837,0,1,0,1,1,0,MUT,,,,,,,,,,,MUT,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3842,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3846,0,1,0,0,0,0,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3848,0,1,0,1,1,1,MUT,,,,,,,,,,,MUT,,,,,,,,,,,,MUT,,,,,MUT,,,MUT,
TCGA-AA-3851,0,1,0,1,0,1,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT,,,MUT,
TCGA-AA-3852,0,1,0,1,1,0,MUT,,,,,,,,,,,MUT,,,,,,,,,,,,MUT,,,,,MUT,,,,
TCGA-AA-3854,0,1,0,1,0,0,MUT,,,,,MUT,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,
TCGA-AA-3855,0,1,0,0,0,0,MUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGA-AA-3856,0,1,0,0,0,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3858,0,1,0,0,0,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,MUT,
TCGA-AA-3860,0,1,0,0,0,1,MUT,,,,,,,UP,,,,,,,,,,,,,,,,,,,,,,,,MUT,MUT
TCGA-AA-3866,0,1,0,0,1,1,MUT,,,,,,,,,,,,,,,,,,,,,,,MUT,,,,,,,,MUT,
TCGA-AA-3869,0,1,0,1,0,1,MUT,,,,,,,UP,MUT,,,,,,,,,,,,,,,,,,AMP and MUT,,,,,MUT,
TCGA-AA-3870,0,1,1,1,0,0,MUT,,,,,,,,,,,,,,,,,,,,HOMDEL,,,,,,,,MUT,,,,
