Supplemental Table 4 - Gene promoter classification among colorectal samples,,,,,,,
,,,,,,,
Probe ID,Gene Symbol,Gene ID,Normal adjacent  mean beta-value,Tumor mean beta-value,Normal vs. tumor FDR-adjusted P value,ES cell histone marks,Gene category
cg27497687,MED19,219541,0.03,0.03,1,K4,Constitutively Low
cg26904212,FXR2,9513,0.13,0.13,1,K4,Constitutively Low
cg26272237,CARS2,79587,0.01,0.01,1,K4,Constitutively Low
cg26199493,LIN9,286826,0.04,0.05,1,K4,Constitutively Low
cg26079320,POGK,57645,0.08,0.08,1,K4,Constitutively Low
cg25920951,FAM70B,348013,0.02,0.02,1,K4+K27,Constitutively Low
cg25658980,PIH1D1,55011,0.02,0.02,1,K4,Constitutively Low
cg25084220,MARCH3,115123,0.02,0.02,1,K4+K27,Constitutively Low
cg24873414,KLHL26,55295,0.08,0.08,1,NA,Constitutively Low
cg24868525,TRAPPC10,7109,0.08,0.08,1,NA,Constitutively Low
cg24727203,PPP1R3B,79660,0.05,0.07,1,K4,Constitutively Low
cg24633242,AKTIP,64400,0.07,0.07,1,K4,Constitutively Low
cg24408817,CCNL1,57018,0.12,0.12,1,K4,Constitutively Low
cg24373308,BAG2,9532,0.02,0.02,1,K4,Constitutively Low
cg24031606,CDC25A,993,0.02,0.02,1,K4,Constitutively Low
cg23913400,ITGB4,3691,0.04,0.04,1,K4,Constitutively Low
cg23739036,PEX10,5192,0.02,0.02,1,K4,Constitutively Low
cg23424268,GCHFR,2644,0.01,0.01,1,K4,Constitutively Low
cg23097681,ARHGAP24,83478,0.06,0.06,1,K4,Constitutively Low
cg23043438,TEX10,54881,0.02,0.02,1,K4,Constitutively Low
cg22836370,MBD2,8932,0.06,0.06,1,K4,Constitutively Low
cg22182110,GOLGB1,2804,0.05,0.05,1,K4,Constitutively Low
cg22176097,DHRS13,147015,0.03,0.03,1,K4,Constitutively Low
cg21508214,IFT80,57560,0.02,0.02,1,K4,Constitutively Low
cg21413251,PIP5K1B,8395,0.01,0.01,1,K4+K27,Constitutively Low
cg21010050,TBC1D23,55773,0.03,0.03,1,K4,Constitutively Low
cg20913782,C1orf212,113444,0.03,0.03,1,K4,Constitutively Low
cg20426860,TMEM161A,54929,0.09,0.09,1,K4,Constitutively Low
cg20278498,RPUSD4,84881,0.06,0.06,1,K4,Constitutively Low
cg20264534,CCDC97,90324,0.05,0.05,1,K4,Constitutively Low
cg20166783,RFC1,5981,0.02,0.02,1,K4,Constitutively Low
cg20126158,MARCH6,10299,0.03,0.03,1,K4,Constitutively Low
cg19786920,NSUN7,79730,0.11,0.14,1,K4,Constitutively Low
cg19630506,SMTN,6525,0.02,0.02,1,K4,Constitutively Low
cg19445598,UBA6,55236,0.02,0.02,1,K4,Constitutively Low
cg19219920,FAM53B,9679,0.04,0.04,1,K4,Constitutively Low
cg19191401,SRGAP1,57522,0.04,0.04,1,K4,Constitutively Low
cg19166875,MYOF,26509,0.11,0.10,1,K4+K27,Constitutively Low
cg19108785,CEP72,55722,0.05,0.05,1,K4,Constitutively Low
cg18556220,FBXW5,54461,0.06,0.06,1,K4,Constitutively Low
cg18540305,TMCO3,55002,0.01,0.01,1,K4,Constitutively Low
cg18508125,FBXO16,157574,0.12,0.13,1,K4,Constitutively Low
cg17895873,SMYD5,10322,0.02,0.02,1,K4,Constitutively Low
cg17509872,CNOT7,29883,0.10,0.10,1,K4,Constitutively Low
cg17366325,RPL19,6143,0.05,0.05,1,K4,Constitutively Low
cg17357984,CDC34,997,0.04,0.04,1,K4,Constitutively Low
cg17240496,UBXN1,51035,0.02,0.02,1,K4,Constitutively Low
cg16889368,MRPL15,29088,0.03,0.02,1,K4,Constitutively Low
cg16756620,PPIG,9360,0.04,0.04,1,K4,Constitutively Low
cg16310717,CCND2,894,0.10,0.10,1,K4,Constitutively Low
cg16063666,TP53TG1,11257,0.07,0.07,1,K4,Constitutively Low
cg15947959,ERGIC1,57222,0.09,0.09,1,K4,Constitutively Low
cg15806518,PSMB7,5695,0.03,0.03,1,K4,Constitutively Low
cg15753381,TAF13,6884,0.03,0.03,1,NA,Constitutively Low
cg15703512,C16orf65,255762,0.06,0.07,1,None,Constitutively Low
cg15536490,TFAP2C,7022,0.16,0.22,1,NA,Constitutively Low
cg15517965,TMUB2,79089,0.02,0.02,1,K4,Constitutively Low
cg15500658,SPEN,23013,0.02,0.02,1,K4,Constitutively Low
cg15492003,SEC61B,10952,0.02,0.02,1,K4,Constitutively Low
cg15305343,NSUN4,387338,0.02,0.02,1,K4,Constitutively Low
cg15104484,PEX26,55670,0.01,0.01,1,K4,Constitutively Low
