marker,cluster
cg03616722,0
cg06509223,0
cg24506221,0
cg20553577,0
cg16814680,0
cg02293936,0
cg06266993,0
cg23564700,0
cg01873886,0
cg02246055,0
cg16570157,0
cg17736443,0
cg02159489,0
cg22681934,0
cg08154437,0
cg08248516,0
cg24008544,0
cg23332582,0
cg14159026,0
cg03483654,0
cg14255824,0
cg01939274,0
cg26522157,0
cg17603288,0
cg24371075,1
cg25830696,1
cg27438798,1
cg15825786,1
cg13021333,1
cg18745566,1
cg02907374,1
cg06368118,1
cg14081924,1
cg18136062,1
cg18800085,1
cg17038667,1
cg20893717,1
cg15454726,1
cg04100696,1
cg00366818,1
cg10748160,1
cg04689080,1
cg16485558,1
cg25373100,1
cg16882226,1
cg12376068,1
cg11514698,1
cg06466031,1
cg22761670,1
cg11964564,1
cg08042975,1
cg20115218,1
cg05817517,1
cg21309100,1
cg24933645,1
cg05099909,1
cg11258164,1
cg05293775,1
cg17512364,1
cg13643796,1
cg10957242,1
cg25324047,1
cg20895877,1
cg18875716,1
cg23448584,1
cg04970352,1
cg22149516,1
cg26525127,1
cg07134065,1
cg21952901,1
cg09350341,1
cg08661899,1
cg13640626,1
cg25457956,1
cg25925764,1
cg20478129,1
cg07551545,1
cg15355118,1
cg12307787,1
cg21662160,1
cg25428398,1
cg19540689,1
cg25561581,1
cg26394244,1
cg09508531,1
cg09279240,1
