,0,1
0,cg24371075,0
1,cg05527869,0
2,cg16364121,0
3,cg25830696,0
4,cg15825786,0
5,cg24761507,0
6,cg10356613,0
7,cg18745566,0
8,cg22623967,0
9,cg08343042,0
10,cg16657538,0
11,cg14168923,0
12,cg14081924,0
13,cg18800085,0
14,cg06299833,0
15,cg20340508,0
16,cg20893717,0
17,cg15452573,0
18,cg11198128,0
19,cg00366818,0
20,cg11243196,0
21,cg16485558,0
22,cg25373100,0
23,cg16882226,0
24,cg05239311,0
25,cg08042975,0
26,cg20115218,0
27,cg20525183,0
28,cg05958740,0
29,cg05817517,0
30,cg19564098,0
31,cg21309100,0
32,cg23930334,0
33,cg11258164,0
34,cg15476528,0
35,cg00984694,0
36,cg13643796,0
37,cg03709091,0
38,cg26976732,0
39,cg24087887,0
40,cg08661899,0
41,cg27258025,0
42,cg14633783,0
43,cg04571847,0
44,cg00673557,0
45,cg14195122,0
46,cg23080354,0
47,cg22837321,0
48,cg19540689,0
49,cg26394244,0
50,cg02788400,0
51,cg08377398,0
52,cg18206952,0
53,cg19850348,0
54,cg13742526,0
55,cg13092806,1
56,cg21399040,1
57,cg10509607,1
58,cg16201038,1
59,cg02246055,1
60,cg13413286,1
61,cg03653399,1
62,cg17736443,1
63,cg23930334,1
64,cg25140783,1
65,cg08248516,1
66,cg06711831,1
67,cg07992457,1
68,cg07614018,1
69,cg07558472,1
70,cg17665357,1
71,cg23054189,1
72,cg10343447,1
73,cg17603288,1
74,cg16406892,1
75,cg07028821,2
76,cg13021333,2
77,cg12246510,2
78,cg11855526,2
79,cg23564700,2
80,cg16919517,2
81,cg01043019,2
82,cg15679813,2
83,cg01663018,2
84,cg18991611,2
85,cg16556906,2
86,cg13186327,2
87,cg13432708,2
88,cg21844450,2
89,cg07068756,2
90,cg01229798,2
91,cg05345154,2
92,cg03324821,2
93,cg23718026,2
94,cg08279075,2
95,cg24789447,2
96,cg24102241,2
97,cg10633966,2
98,cg03444715,2
99,cg03721362,2
100,cg27058257,2
101,cg19509715,2
102,cg14587524,2
103,cg12664464,2
104,cg20014049,2
105,cg01539036,2
106,cg24446548,2
107,cg20532370,2
108,cg18560328,2
109,cg21678445,2
110,cg14980983,2
111,cg19254906,2
112,cg18246262,2
113,cg07710481,2
114,cg20267521,2
115,cg10416527,2
116,cg11430157,2
117,cg19585816,2
118,cg12539796,3
119,cg07139330,3
120,cg27438798,3
121,cg23378989,3
122,cg25283609,3
123,cg15971888,3
124,cg24255728,3
125,cg12358000,3
126,cg04407470,3
127,cg20295992,3
128,cg07233097,3
129,cg08871855,3
130,cg23584743,3
131,cg26084529,3
132,cg20401551,3
133,cg04856689,3
134,cg14851108,3
135,cg01934626,3
136,cg02966153,3
137,cg08347183,3
138,cg23511613,3
139,cg10884288,3
140,cg02466321,3
141,cg21240762,3
142,cg12880602,3
143,cg17325959,3
144,cg13518298,3
145,cg16126280,3
146,cg19736128,3
147,cg00465841,3
148,cg27398263,3
149,cg24458474,3
150,cg05802452,3
151,cg22610211,3
152,cg26881713,3
153,cg07352539,3
154,cg27018380,3
155,cg13727122,3
156,cg02662362,3
157,cg07551545,3
158,cg13601799,3
159,cg21001198,3
160,cg12868173,3
161,cg22630755,3
162,cg09508531,3
